DC,Dd,ID,iz,izL,wlp,wlpL
0.3404116873013542,0.43805612971133956,1.0,41,31,1,0
-0.011674084574250676,-0.011740741521662879,1.0,40,41,1,1
0.006978687438291081,0.007018628549412487,1.0,41,40,1,1
0.005860311271068425,0.005893635718478063,1.0,49,41,1,1
0.0047083006257213345,0.004734932287869809,1.0,40,49,1,1
0.0033247278214406095,0.003343457735483002,1.0,39,40,1,1
-0.3496096298824998,-0.44730604247979483,1.0,30,39,0,1
0.013245494260732016,0.013347967202918087,2.0,13,23,1,1
0.06298799149082968,0.06345700939483429,2.0,14,13,1,1
0.04331994322230165,0.04362566684771191,2.0,22,14,1,1
0.036290964973825085,0.03653701442931556,2.0,12,22,1,1
0.05260937892804515,0.05295047864127911,2.0,13,12,1,1
0.05882634443626532,0.0591869664545952,2.0,13,13,1,1
0.04640769887459241,0.04667750921355454,2.0,23,13,1,1
0.04355720852472852,0.0437992429687355,2.0,4,23,1,1
0.04438777545609226,0.04462375862416976,2.0,22,4,1,1
-0.3027714288225013,-0.40773538658462094,2.0,13,22,0,1
-0.01161490398653292,-0.011671430221997986,3.0,68,57,1,1
-0.016354502967232704,-0.016435222282636636,3.0,77,68,1,1
0.17964327738163768,0.21787738703140014,3.0,76,77,2,1
0.01342315054289639,0.013464856402445711,3.0,76,76,2,2
-0.16726046723617655,-0.20540951609806188,3.0,66,76,1,2
0.0019363199452087226,0.0019456998058567099,3.0,67,66,1,1
0.16903872078723722,0.2071898321485392,3.0,68,67,2,1
0.0019392478169150407,0.001945204552107783,3.0,67,68,2,2
0.012294457508840798,0.01234068395005189,4.0,40,50,2,2
0.019008060256773963,0.0190784160917779,4.0,40,40,2,2
0.024261400643967868,0.024349272965779073,4.0,40,40,2,2
0.023628951524752514,0.023712500985988344,4.0,40,40,2,2
0.03958044822942891,0.03985115731184835,5.0,12,14,1,1
0.005975629386028414,0.006015570322078501,5.0,23,12,1,1
0.02145671291441381,0.021598164953705035,5.0,14,23,1,1
-0.2697398353069434,-0.37345885483909524,5.0,4,14,0,1
0.3090527324646487,0.41302312547435255,5.0,23,4,1,0
-0.3090527324612833,-0.41302312547098713,5.0,5,23,0,1
-0.08104766903895766,-0.18575464713204304,6.0,9,23,0,1
5.529299240691898e-12,5.52935475184313e-12,6.0,11,9,0,0
3.4232616741292077e-12,3.423150651826745e-12,6.0,0,11,0,0
0.00017147520565935492,0.00017377488728020918,6.0,10,0,0,0
0.0078019496578928815,0.007906161269601308,6.0,10,10,0,0
0.018991318925048184,0.019241571448138206,6.0,10,10,0,0
0.2526294696207086,0.358433035897341,6.0,14,10,1,0
0.04627404419646097,0.04657301514240064,6.0,4,14,1,1
0.05863004786619354,0.058989393725615125,6.0,14,4,1,1
-0.3844983054783495,-0.4913169523767624,6.0,3,14,0,1
0.004939323970049647,0.005005406274667612,6.0,4,3,0,0
0.014547813539996596,0.014607716148979544,7.0,35,53,2,2
-0.000569152804066983,-0.0005714799581430507,7.0,35,35,2,2
-0.04646963384822174,-0.04666419748459291,7.0,52,35,2,2
-0.057323485584728134,-0.05757634605704215,7.0,43,52,2,2
0.016499481960011275,0.016573761247423158,7.0,43,43,2,2
0.04433623647350486,0.04452984229375767,7.0,42,43,2,2
0.057270431751831996,0.05750809201048246,7.0,52,42,2,2
0.043816687551917116,0.04398951038417595,7.0,42,52,2,2
-0.1417451796302909,-0.1825086370784774,7.0,44,42,1,2
0.05876267001190337,0.05909559026653499,7.0,42,44,1,1
0.021105931764607955,0.021285665680999655,9.0,13,12,1,1
0.0455876324139004,0.04596303669321922,9.0,22,13,1,1
0.0377988847348098,0.038097330856048384,9.0,5,22,1,1
0.05815920327508034,0.05859676960370941,9.0,5,5,1,1
0.014650034509070098,0.014756272136720316,9.0,12,5,1,1
0.05103396532254978,0.051392043907606044,9.0,12,12,1,1
0.03751066135780351,0.03776236671300598,9.0,21,12,1,1
-0.2811972700002435,-0.3871000883823274,9.0,13,21,0,1
2.7602919949742954e-11,2.7602919949742954e-11,9.0,4,13,0,0
3.533690007273549e-11,3.533684456158426e-11,9.0,5,4,0,0
2.7857938178499353e-11,2.7858160223104278e-11,9.0,3,5,0,0
2.7699509352885343e-11,2.769939833058288e-11,9.0,12,3,0,0
2.986949576566644e-11,2.986944025451521e-11,9.0,13,12,0,0
0.1889865411509239,0.19128793928625998,9.0,22,13,0,0
0.25305387080413516,0.2555214010444193,9.0,4,22,0,0
0.29747970732336776,0.29989330912999496,9.0,13,4,0,0
0.10408329353002876,0.10517164430549723,9.0,13,13,0,0
-0.03003629909683969,-0.030338715154913265,9.0,12,13,0,0
0.14523427755005264,0.14661511870235108,9.0,13,12,0,0
-0.06798573987529033,-0.06860697386239359,9.0,12,13,0,0
0.023202194497169704,0.02341901732006213,9.0,3,12,0,0
0.1276968767024061,0.12880346681852006,9.0,22,3,0,0
0.01705585211779903,0.017193157455152708,9.0,13,22,0,0
0.012402496934998064,0.012500869199704945,9.0,22,13,0,0
-0.10258749729296157,-0.10343940521535888,9.0,21,22,0,0
0.11613159236490544,0.11708953192134941,9.0,4,21,0,0
